 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.01	 0.01	 0.01	 0.01	 0.01	 0.02	 0.02	 0.02	 0.02	 0.03	 0.03	 0.03	 0.04	 0.04	 0.05	 0.05	 0.06	 0.06	 0.06	 0.07	 0.08	 0.08	 0.09	 0.09	 0.10	 0.10	 0.11	 0.12	 0.12	 0.13	 0.14	 0.15	 0.15	 0.16	 0.17	 0.18	 0.19	 0.19	 0.20	 0.21	 0.22	 0.23	 0.24	 0.25	 0.26	 0.27	 0.28	 0.29	 0.30	 0.31	 0.32	 0.33	 0.35	 0.36	 0.37	 0.38	 0.39	 0.41	 0.42	 0.43	 0.44	 0.46	 0.47	 0.48	 0.50	 0.51	 0.53	 0.54	 0.56	 0.57	 0.58	 0.60	 0.62	 0.63	 0.65	 0.66	 0.68	 0.69	 0.71	 0.73	 0.74	 0.76	 0.78	 0.80	 0.81	 0.83	 0.85	 0.87	 0.89	 0.90	 0.92	 0.94	 0.96	 0.98	 1.00	 1.02	 1.04	 1.06	 1.08	 1.10	 1.12	 1.14	 1.16	 1.18	 1.21	 1.23	 1.25	 1.27	 1.29	 1.32	 1.34	 1.36	 1.38	 1.41	 1.43	 1.45	 1.48	 1.50	 1.53	 1.55	 1.57	 1.60	 1.62	 1.65	 1.67	 1.70	 1.73	 1.75	 1.78	 1.80	 1.83	 1.86	 1.88	 1.91	 1.94	 1.97	 1.99	 2.02	 2.05	 2.08	 2.11	 2.13	 2.16	 2.19	 2.22	 2.25	 2.28	 2.31	 2.34	 2.37	 2.40	 2.43	 2.46	 2.49	 2.52	 2.55	 2.59	 2.62	 2.65	 2.68	 2.71	 2.75	 2.78	 2.81	 2.84	 2.88	 2.91	 2.94	 2.98	 3.01	 3.05	 3.08	 3.11	 3.15	 3.18	 3.22	 3.25	 3.29	 3.33	 3.36	 3.40	 3.43	 3.47	 3.51	 3.54	 3.58	 3.62	 3.65	 3.69	 3.73	 3.77	 3.81	 3.84	 3.88	 3.92	 3.96	
 0.00	-3.20	-5.90	-8.30	-10.48	-12.51	-14.41	-16.21	-17.91	-19.54	-21.09	-22.58	-24.01	-25.39	-26.72	-28.01	-29.25	-30.45	-31.61	-32.74	-33.83	-34.90	-35.93	-36.93	-37.91	-38.85	-39.78	-40.67	-41.55	-42.40	-43.23	-44.03	-44.82	-45.59	-46.33	-47.06	-47.77	-48.46	-49.14	-49.79	-50.43	-51.06	-51.67	-52.26	-52.84	-53.40	-53.95	-54.48	-55.00	-55.51	-56.00	-56.48	-56.95	-57.40	-57.85	-58.27	-58.69	-59.10	-59.49	-59.88	-60.25	-60.61	-60.96	-61.29	-61.62	-61.94	-62.24	-62.54	-62.83	-63.10	-63.37	-63.62	-63.87	-64.11	-64.33	-64.55	-64.76	-64.96	-65.14	-65.32	-65.50	-65.66	-65.81	-65.95	-66.09	-66.21	-66.33	-66.44	-66.54	-66.63	-66.71	-66.79	-66.85	-66.91	-66.96	-67.00	-67.03	-67.05	-67.06	-67.07	-67.07	-67.06	-67.04	-67.01	-66.97	-66.93	-66.88	-66.82	-66.75	-66.67	-66.58	-66.48	-66.38	-66.27	-66.15	-66.02	-65.88	-65.73	-65.58	-65.41	-65.24	-65.06	-64.86	-64.66	-64.45	-64.24	-64.01	-63.77	-63.53	-63.27	-63.00	-62.73	-62.44	-62.15	-61.85	-61.53	-61.21	-60.87	-60.53	-60.17	-59.81	-59.43	-59.04	-58.64	-58.23	-57.81	-57.38	-56.93	-56.48	-56.01	-55.53	-55.04	-54.53	-54.01	-53.48	-52.93	-52.38	-51.80	-51.22	-50.61	-50.00	-49.37	-48.72	-48.06	-47.38	-46.68	-45.97	-45.24	-44.49	-43.72	-42.94	-42.13	-41.31	-40.46	-39.60	-38.71	-37.79	-36.86	-35.90	-34.91	-33.90	-32.85	-31.78	-30.68	-29.55	-28.38	-27.18	-25.94	-24.66	-23.34	-21.97	-20.55	-19.08	-17.55	-15.96	-14.30	-12.55	-10.72	-8.78	-6.71	-4.48	-2.04	 0.70	 3.96	
 0.00	-5.90	-11.10	-15.80	-20.13	-24.15	-27.94	-31.51	-34.91	-38.15	-41.26	-44.23	-47.09	-49.85	-52.51	-55.07	-57.56	-59.96	-62.29	-64.55	-66.74	-68.86	-70.93	-72.94	-74.89	-76.79	-78.64	-80.44	-82.19	-83.90	-85.56	-87.18	-88.76	-90.30	-91.80	-93.26	-94.68	-96.07	-97.43	-98.75	-100.04	-101.29	-102.52	-103.71	-104.87	-106.01	-107.11	-108.19	-109.24	-110.26	-111.26	-112.23	-113.17	-114.09	-114.98	-115.85	-116.70	-117.52	-118.32	-119.10	-119.85	-120.58	-121.29	-121.98	-122.65	-123.29	-123.92	-124.52	-125.11	-125.67	-126.22	-126.74	-127.25	-127.73	-128.20	-128.65	-129.08	-129.49	-129.88	-130.26	-130.61	-130.95	-131.27	-131.58	-131.86	-132.13	-132.38	-132.62	-132.83	-133.03	-133.21	-133.38	-133.53	-133.66	-133.77	-133.87	-133.95	-134.01	-134.06	-134.09	-134.11	-134.10	-134.08	-134.05	-134.00	-133.93	-133.84	-133.74	-133.62	-133.48	-133.33	-133.16	-132.98	-132.77	-132.55	-132.31	-132.06	-131.79	-131.50	-131.19	-130.87	-130.53	-130.17	-129.79	-129.40	-128.98	-128.55	-128.10	-127.63	-127.15	-126.64	-126.12	-125.57	-125.01	-124.43	-123.82	-123.20	-122.56	-121.90	-121.21	-120.51	-119.78	-119.03	-118.26	-117.47	-116.65	-115.82	-114.96	-114.07	-113.16	-112.23	-111.28	-110.29	-109.29	-108.25	-107.19	-106.10	-104.99	-103.84	-102.67	-101.47	-100.24	-98.98	-97.68	-96.36	-95.00	-93.60	-92.18	-90.71	-89.21	-87.68	-86.10	-84.48	-82.82	-81.12	-79.38	-77.59	-75.75	-73.86	-71.93	-69.93	-67.89	-65.78	-63.62	-61.39	-59.09	-56.73	-54.28	-51.76	-49.16	-46.46	-43.67	-40.77	-37.75	-34.61	-31.33	-27.89	-24.28	-20.45	-16.39	-12.02	-7.27	-2.03	 3.92	
 0.00	-8.30	-15.80	-22.68	-29.07	-35.04	-40.67	-46.00	-51.07	-55.91	-60.55	-65.00	-69.28	-73.40	-77.38	-81.23	-84.95	-88.55	-92.04	-95.42	-98.71	-101.89	-104.99	-108.00	-110.93	-113.78	-116.55	-119.25	-121.88	-124.44	-126.94	-129.37	-131.74	-134.05	-136.30	-138.49	-140.63	-142.72	-144.75	-146.74	-148.67	-150.56	-152.40	-154.19	-155.94	-157.64	-159.31	-160.92	-162.50	-164.04	-165.54	-167.00	-168.42	-169.80	-171.15	-172.45	-173.73	-174.97	-176.17	-177.34	-178.48	-179.58	-180.65	-181.69	-182.69	-183.67	-184.61	-185.53	-186.41	-187.26	-188.08	-188.88	-189.64	-190.38	-191.09	-191.77	-192.42	-193.04	-193.64	-194.21	-194.75	-195.27	-195.76	-196.22	-196.66	-197.07	-197.45	-197.81	-198.14	-198.45	-198.73	-198.99	-199.22	-199.42	-199.60	-199.76	-199.89	-199.99	-200.07	-200.13	-200.16	-200.17	-200.15	-200.10	-200.03	-199.94	-199.82	-199.68	-199.51	-199.32	-199.10	-198.86	-198.59	-198.29	-197.97	-197.63	-197.26	-196.86	-196.44	-195.99	-195.52	-195.02	-194.49	-193.94	-193.36	-192.75	-192.11	-191.45	-190.76	-190.04	-189.30	-188.52	-187.72	-186.89	-186.03	-185.14	-184.22	-183.27	-182.28	-181.27	-180.23	-179.15	-178.04	-176.90	-175.73	-174.52	-173.28	-172.00	-170.69	-169.34	-167.96	-166.54	-165.08	-163.59	-162.05	-160.47	-158.86	-157.20	-155.50	-153.76	-151.97	-150.14	-148.27	-146.34	-144.37	-142.35	-140.27	-138.15	-135.97	-133.74	-131.45	-129.10	-126.70	-124.23	-121.70	-119.10	-116.43	-113.69	-110.88	-107.99	-105.03	-101.98	-98.84	-95.62	-92.29	-88.87	-85.34	-81.71	-77.95	-74.07	-70.05	-65.88	-61.57	-57.08	-52.40	-47.52	-42.41	-37.04	-31.37	-25.36	-18.94	-12.01	-4.46	 3.88	
 0.00	-10.48	-20.13	-29.07	-37.42	-45.27	-52.69	-59.74	-66.45	-72.87	-79.03	-84.93	-90.62	-96.10	-101.39	-106.51	-111.46	-116.25	-120.89	-125.40	-129.77	-134.01	-138.14	-142.15	-146.05	-149.85	-153.54	-157.14	-160.64	-164.05	-167.38	-170.62	-173.78	-176.86	-179.86	-182.78	-185.64	-188.42	-191.13	-193.78	-196.36	-198.87	-201.33	-203.72	-206.05	-208.32	-210.54	-212.70	-214.81	-216.86	-218.86	-220.80	-222.70	-224.55	-226.34	-228.09	-229.79	-231.45	-233.05	-234.62	-236.14	-237.61	-239.04	-240.43	-241.77	-243.07	-244.34	-245.56	-246.74	-247.88	-248.98	-250.04	-251.07	-252.05	-253.00	-253.91	-254.79	-255.62	-256.42	-257.19	-257.92	-258.61	-259.27	-259.89	-260.47	-261.03	-261.54	-262.03	-262.48	-262.89	-263.27	-263.62	-263.93	-264.21	-264.46	-264.67	-264.85	-265.00	-265.11	-265.19	-265.24	-265.25	-265.24	-265.18	-265.10	-264.98	-264.83	-264.65	-264.43	-264.18	-263.89	-263.58	-263.22	-262.84	-262.42	-261.97	-261.48	-260.96	-260.41	-259.82	-259.19	-258.53	-257.84	-257.11	-256.34	-255.54	-254.70	-253.83	-252.92	-251.97	-250.98	-249.96	-248.90	-247.80	-246.66	-245.48	-244.26	-243.00	-241.70	-240.36	-238.98	-237.56	-236.09	-234.58	-233.02	-231.42	-229.78	-228.09	-226.35	-224.56	-222.73	-220.84	-218.91	-216.92	-214.89	-212.80	-210.66	-208.46	-206.20	-203.89	-201.52	-199.09	-196.60	-194.05	-191.43	-188.75	-186.00	-183.18	-180.29	-177.32	-174.28	-171.17	-167.97	-164.70	-161.33	-157.88	-154.34	-150.71	-146.98	-143.14	-139.20	-135.16	-130.99	-126.71	-122.30	-117.76	-113.07	-108.25	-103.26	-98.11	-92.78	-87.26	-81.53	-75.59	-69.40	-62.94	-56.18	-49.10	-41.64	-33.75	-25.35	-16.37	-6.68	 3.84	
 0.00	-12.51	-24.15	-35.04	-45.27	-54.93	-64.09	-72.81	-81.13	-89.10	-96.75	-104.09	-111.17	-117.99	-124.58	-130.96	-137.12	-143.09	-148.88	-154.50	-159.96	-165.25	-170.40	-175.41	-180.28	-185.02	-189.63	-194.12	-198.49	-202.75	-206.91	-210.95	-214.90	-218.74	-222.49	-226.14	-229.71	-233.18	-236.57	-239.88	-243.10	-246.25	-249.31	-252.30	-255.22	-258.06	-260.83	-263.53	-266.17	-268.73	-271.23	-273.66	-276.03	-278.34	-280.59	-282.78	-284.90	-286.97	-288.98	-290.94	-292.84	-294.68	-296.47	-298.21	-299.89	-301.52	-303.10	-304.63	-306.11	-307.54	-308.92	-310.25	-311.53	-312.77	-313.96	-315.10	-316.19	-317.24	-318.24	-319.20	-320.12	-320.98	-321.81	-322.59	-323.33	-324.02	-324.67	-325.28	-325.84	-326.37	-326.85	-327.29	-327.68	-328.04	-328.35	-328.62	-328.85	-329.04	-329.18	-329.29	-329.35	-329.37	-329.36	-329.30	-329.20	-329.05	-328.87	-328.64	-328.38	-328.07	-327.72	-327.33	-326.90	-326.42	-325.90	-325.34	-324.74	-324.10	-323.41	-322.68	-321.90	-321.08	-320.22	-319.32	-318.37	-317.37	-316.33	-315.24	-314.11	-312.93	-311.71	-310.44	-309.12	-307.75	-306.33	-304.86	-303.35	-301.78	-300.17	-298.50	-296.78	-295.00	-293.18	-291.30	-289.36	-287.37	-285.32	-283.21	-281.05	-278.83	-276.54	-274.20	-271.79	-269.32	-266.78	-264.18	-261.51	-258.77	-255.96	-253.08	-250.13	-247.10	-244.00	-240.82	-237.56	-234.21	-230.79	-227.27	-223.67	-219.98	-216.19	-212.31	-208.33	-204.25	-200.06	-195.76	-191.35	-186.82	-182.17	-177.40	-172.49	-167.45	-162.26	-156.93	-151.44	-145.78	-139.95	-133.94	-127.74	-121.33	-114.70	-107.84	-100.73	-93.34	-85.66	-77.65	-69.29	-60.53	-51.33	-41.63	-31.36	-20.43	-8.75	 3.81	
 0.00	-14.41	-27.94	-40.67	-52.69	-64.09	-74.94	-85.28	-95.17	-104.65	-113.76	-122.52	-130.97	-139.12	-146.99	-154.61	-161.98	-169.12	-176.05	-182.77	-189.30	-195.64	-201.81	-207.80	-213.63	-219.31	-224.83	-230.21	-235.45	-240.56	-245.54	-250.39	-255.11	-259.72	-264.22	-268.60	-272.87	-277.04	-281.10	-285.07	-288.93	-292.70	-296.38	-299.96	-303.46	-306.87	-310.19	-313.43	-316.59	-319.67	-322.67	-325.59	-328.43	-331.20	-333.90	-336.52	-339.07	-341.56	-343.97	-346.32	-348.60	-350.81	-352.96	-355.04	-357.06	-359.02	-360.92	-362.75	-364.53	-366.25	-367.90	-369.50	-371.04	-372.53	-373.95	-375.33	-376.64	-377.90	-379.11	-380.26	-381.36	-382.41	-383.40	-384.34	-385.22	-386.06	-386.84	-387.58	-388.26	-388.89	-389.47	-389.99	-390.47	-390.90	-391.28	-391.61	-391.89	-392.12	-392.30	-392.43	-392.51	-392.54	-392.52	-392.45	-392.33	-392.17	-391.95	-391.68	-391.37	-391.00	-390.59	-390.12	-389.61	-389.04	-388.43	-387.76	-387.04	-386.27	-385.45	-384.58	-383.66	-382.68	-381.65	-380.57	-379.43	-378.24	-377.00	-375.70	-374.35	-372.94	-371.48	-369.96	-368.38	-366.74	-365.05	-363.30	-361.48	-359.61	-357.68	-355.68	-353.63	-351.50	-349.32	-347.07	-344.75	-342.37	-339.92	-337.40	-334.81	-332.15	-329.42	-326.61	-323.73	-320.77	-317.74	-314.62	-311.43	-308.15	-304.79	-301.35	-297.81	-294.19	-290.48	-286.67	-282.77	-278.77	-274.67	-270.46	-266.15	-261.73	-257.20	-252.56	-247.79	-242.91	-237.89	-232.75	-227.47	-222.06	-216.49	-210.78	-204.91	-198.88	-192.68	-186.30	-179.74	-172.98	-166.01	-158.83	-151.42	-143.77	-135.86	-127.67	-119.19	-110.39	-101.24	-91.72	-81.79	-71.41	-60.53	-49.09	-37.02	-24.25	-10.69	 3.77	
 0.00	-16.21	-31.51	-46.00	-59.74	-72.81	-85.28	-97.20	-108.62	-119.58	-130.12	-140.27	-150.06	-159.52	-168.66	-177.50	-186.07	-194.37	-202.42	-210.24	-217.83	-225.21	-232.38	-239.36	-246.15	-252.75	-259.19	-265.45	-271.55	-277.50	-283.29	-288.94	-294.45	-299.82	-305.05	-310.16	-315.14	-319.99	-324.73	-329.35	-333.86	-338.25	-342.54	-346.71	-350.79	-354.76	-358.64	-362.42	-366.10	-369.68	-373.18	-376.59	-379.90	-383.13	-386.28	-389.34	-392.31	-395.21	-398.03	-400.76	-403.42	-406.00	-408.51	-410.94	-413.30	-415.58	-417.80	-419.94	-422.01	-424.01	-425.95	-427.81	-429.61	-431.34	-433.01	-434.61	-436.15	-437.62	-439.03	-440.37	-441.66	-442.88	-444.04	-445.14	-446.17	-447.15	-448.07	-448.92	-449.72	-450.46	-451.13	-451.75	-452.31	-452.82	-453.26	-453.65	-453.97	-454.24	-454.46	-454.61	-454.71	-454.75	-454.73	-454.65	-454.52	-454.33	-454.08	-453.77	-453.41	-452.99	-452.51	-451.97	-451.37	-450.72	-450.00	-449.23	-448.39	-447.50	-446.55	-445.54	-444.46	-443.33	-442.13	-440.87	-439.56	-438.17	-436.73	-435.22	-433.65	-432.01	-430.31	-428.54	-426.70	-424.80	-422.83	-420.79	-418.68	-416.50	-414.25	-411.93	-409.54	-407.07	-404.53	-401.91	-399.21	-396.44	-393.59	-390.66	-387.64	-384.55	-381.37	-378.10	-374.75	-371.31	-367.77	-364.15	-360.43	-356.62	-352.71	-348.70	-344.58	-340.37	-336.05	-331.62	-327.07	-322.42	-317.65	-312.75	-307.74	-302.60	-297.32	-291.92	-286.38	-280.69	-274.86	-268.88	-262.74	-256.44	-249.97	-243.32	-236.50	-229.49	-222.28	-214.86	-207.23	-199.38	-191.29	-182.95	-174.35	-165.47	-156.29	-146.80	-136.97	-126.78	-116.20	-105.20	-93.75	-81.79	-69.28	-56.17	-42.39	-27.87	-12.52	 3.73	
 0.01	-17.91	-34.91	-51.07	-66.45	-81.13	-95.17	-108.62	-121.52	-133.93	-145.87	-157.38	-168.49	-179.23	-189.62	-199.67	-209.42	-218.86	-228.03	-236.93	-245.58	-253.98	-262.15	-270.10	-277.84	-285.37	-292.70	-299.85	-306.81	-313.59	-320.20	-326.64	-332.92	-339.05	-345.02	-350.85	-356.53	-362.07	-367.48	-372.75	-377.89	-382.91	-387.80	-392.57	-397.22	-401.76	-406.18	-410.49	-414.70	-418.79	-422.78	-426.67	-430.46	-434.15	-437.74	-441.24	-444.64	-447.94	-451.16	-454.28	-457.32	-460.27	-463.13	-465.91	-468.60	-471.22	-473.74	-476.19	-478.56	-480.85	-483.06	-485.19	-487.25	-489.23	-491.13	-492.96	-494.72	-496.40	-498.01	-499.55	-501.02	-502.41	-503.74	-505.00	-506.18	-507.30	-508.35	-509.33	-510.24	-511.08	-511.86	-512.57	-513.21	-513.79	-514.30	-514.74	-515.12	-515.43	-515.68	-515.86	-515.97	-516.02	-516.00	-515.92	-515.77	-515.55	-515.27	-514.92	-514.51	-514.03	-513.48	-512.87	-512.19	-511.45	-510.63	-509.75	-508.81	-507.79	-506.70	-505.55	-504.33	-503.04	-501.68	-500.24	-498.74	-497.16	-495.52	-493.80	-492.01	-490.14	-488.20	-486.18	-484.09	-481.92	-479.68	-477.35	-474.95	-472.46	-469.90	-467.25	-464.52	-461.71	-458.81	-455.83	-452.75	-449.59	-446.34	-443.00	-439.56	-436.03	-432.40	-428.68	-424.85	-420.93	-416.90	-412.77	-408.53	-404.18	-399.72	-395.15	-390.46	-385.65	-380.73	-375.67	-370.50	-365.19	-359.75	-354.17	-348.45	-342.59	-336.58	-330.42	-324.10	-317.62	-310.97	-304.16	-297.16	-289.98	-282.61	-275.05	-267.27	-259.29	-251.08	-242.64	-233.96	-225.02	-215.82	-206.33	-196.55	-186.46	-176.04	-165.26	-154.11	-142.57	-130.59	-118.14	-105.20	-91.72	-77.64	-62.92	-47.50	-31.30	-14.27	 3.69	
 0.01	-19.54	-38.15	-55.91	-72.87	-89.10	-104.65	-119.58	-133.93	-147.74	-161.05	-173.89	-186.30	-198.30	-209.91	-221.16	-232.06	-242.64	-252.90	-262.88	-272.57	-281.99	-291.15	-300.06	-308.74	-317.19	-325.41	-333.43	-341.24	-348.85	-356.27	-363.50	-370.55	-377.43	-384.14	-390.68	-397.06	-403.28	-409.35	-415.28	-421.05	-426.69	-432.18	-437.54	-442.77	-447.87	-452.84	-457.68	-462.40	-467.01	-471.49	-475.86	-480.12	-484.26	-488.30	-492.23	-496.05	-499.77	-503.38	-506.90	-510.31	-513.62	-516.84	-519.97	-522.99	-525.93	-528.77	-531.52	-534.19	-536.76	-539.25	-541.64	-543.96	-546.18	-548.33	-550.38	-552.36	-554.25	-556.07	-557.80	-559.45	-561.02	-562.51	-563.93	-565.26	-566.52	-567.70	-568.80	-569.83	-570.78	-571.66	-572.46	-573.18	-573.83	-574.41	-574.91	-575.33	-575.68	-575.96	-576.17	-576.30	-576.35	-576.33	-576.24	-576.08	-575.84	-575.52	-575.14	-574.67	-574.14	-573.53	-572.84	-572.08	-571.25	-570.34	-569.35	-568.29	-567.15	-565.93	-564.64	-563.27	-561.82	-560.29	-558.68	-556.99	-555.23	-553.38	-551.45	-549.44	-547.34	-545.17	-542.90	-540.56	-538.12	-535.60	-532.99	-530.29	-527.51	-524.63	-521.66	-518.59	-515.43	-512.18	-508.83	-505.38	-501.83	-498.18	-494.43	-490.57	-486.61	-482.53	-478.35	-474.06	-469.66	-465.13	-460.50	-455.74	-450.86	-445.85	-440.72	-435.45	-430.06	-424.53	-418.86	-413.05	-407.09	-400.98	-394.72	-388.31	-381.73	-374.99	-368.07	-360.99	-353.72	-346.26	-338.62	-330.77	-322.72	-314.46	-305.97	-297.26	-288.31	-279.11	-269.66	-259.93	-249.92	-239.62	-229.01	-218.07	-206.78	-195.14	-183.10	-170.66	-157.78	-144.43	-130.58	-116.20	-101.23	-85.64	-69.38	-52.38	-34.58	-15.93	 3.65	
